date,pred_time_index,country,model,actual,forecast,error,abs_error,sq_error
2021-04-04,66,South Africa,hhh4_full,7035,10447.66485620173,-3412.664856201731,3412.664856201731,11646281.42075438
2021-04-11,67,South Africa,hhh4_full,6026,9549.213024447772,-3523.213024447772,3523.213024447772,12413030.015638418
2021-04-18,68,South Africa,hhh4_full,8153,8133.117970008822,19.88202999117766,19.88202999117766,395.29511657008794
2021-04-25,69,South Africa,hhh4_full,8690,10973.78269658812,-2283.7826965881195,2283.7826965881195,5215663.405235303
2021-05-02,70,South Africa,hhh4_full,8472,11639.70843153289,-3167.7084315328902,3167.7084315328902,10034376.707204564
2021-05-09,71,South Africa,hhh4_full,11975,11283.635581206623,691.3644187933769,691.3644187933769,477984.75957350386
2021-05-16,72,South Africa,hhh4_full,16326,15862.625534879124,463.37446512087627,463.37446512087627,214715.8949260582
2021-05-23,73,South Africa,hhh4_full,21428,21587.78033679173,-159.7803367917295,159.7803367917295,25529.756025278508
2021-05-30,74,South Africa,hhh4_full,26499,28479.752117806547,-1980.7521178065472,1980.7521178065472,3923378.952195122
2021-06-06,75,South Africa,hhh4_full,32421,35168.34046032181,-2747.3404603218078,2747.3404603218078,7547879.604921242
2021-06-13,76,South Africa,hhh4_full,47934,42840.54150775939,5093.458492240607,5093.458492240607,25943319.412177954
2021-06-20,77,South Africa,hhh4_full,70739,63106.21932665735,7632.780673342648,7632.780673342648,58259340.80735304
2021-06-27,78,South Africa,hhh4_full,103697,92781.83717386423,10915.16282613577,10915.16282613577,119140779.52105619
2021-07-04,79,South Africa,hhh4_full,132450,135695.97127344296,-3245.971273442963,3245.971273442963,10536329.50801693
2021-07-11,80,South Africa,hhh4_full,132986,173022.44515790854,-40036.44515790854,40036.44515790854,1602916940.8822184
2021-07-18,81,South Africa,hhh4_full,104583,173605.45143606016,-69022.45143606016,69022.45143606016,4764098802.243283
2021-07-25,82,South Africa,hhh4_full,84225,136284.60177963192,-52059.60177963192,52059.60177963192,2710202137.453855
2021-08-01,83,South Africa,hhh4_full,66931,109537.56568965329,-42606.56568965329,42606.56568965329,1815319439.866741
2021-01-24,56,United Kingdom,hhh4_full,246136,469741.5907534092,-223605.5907534092,223605.5907534092,49999460216.181114
2021-01-31,57,United Kingdom,hhh4_full,171872,359994.6484074153,-188122.6484074153,188122.6484074153,35390130843.82
2021-02-07,58,United Kingdom,hhh4_full,130904,248549.51851023774,-117645.51851023774,117645.51851023774,13840468025.542692
2021-02-14,59,United Kingdom,hhh4_full,94013,187206.04181451994,-93193.04181451994,93193.04181451994,8684943042.64286
2021-02-21,60,United Kingdom,hhh4_full,80166,133127.70532353083,-52961.70532353083,52961.70532353083,2804942230.7765136
2021-02-28,61,United Kingdom,hhh4_full,61479,112413.76717468938,-50934.767174689376,50934.767174689376,2594350507.1398144
2021-03-07,62,United Kingdom,hhh4_full,41509,85760.46065219719,-44251.46065219719,44251.46065219719,1958191769.8529558
2021-03-14,63,United Kingdom,hhh4_full,40316,57509.309567134194,-17193.309567134194,17193.309567134194,295609893.8713082
2021-03-21,64,United Kingdom,hhh4_full,38125,55616.079075918446,-17491.079075918446,17491.079075918446,305937847.2400321
2021-03-28,65,United Kingdom,hhh4_full,37978,52266.05065431537,-14288.050654315368,14288.050654315368,204148391.5002818
2021-04-04,66,United Kingdom,hhh4_full,27122,51761.744705122524,-24639.744705122524,24639.744705122524,607117019.1336135
2021-04-11,67,United Kingdom,hhh4_full,20326,36810.55362595453,-16484.553625954533,16484.553625954533,271740508.2469708
2021-04-18,68,United Kingdom,hhh4_full,17332,27425.253246217922,-10093.253246217922,10093.253246217922,101873761.09228863
2021-04-25,69,United Kingdom,hhh4_full,16722,23322.075478425693,-6600.075478425693,6600.075478425693,43560996.320916146
2021-05-02,70,United Kingdom,hhh4_full,15040,22393.261177373526,-7353.261177373526,7353.261177373526,54070449.9426687
2021-05-09,71,United Kingdom,hhh4_full,14460,20029.256720095214,-5569.256720095214,5569.256720095214,31016620.414325707
2021-05-16,72,United Kingdom,hhh4_full,15502,19154.10029037422,-3652.100290374219,3652.100290374219,13337836.530951455
2021-05-23,73,United Kingdom,hhh4_full,16912,20498.25534865079,-3586.2553486507895,3586.2553486507895,12861227.425726395
2021-05-30,74,United Kingdom,hhh4_full,22378,22477.831436790297,-99.83143679029672,99.83143679029672,9966.315771615009
2021-06-06,75,United Kingdom,hhh4_full,33774,29699.516793339768,4074.483206660232,4074.483206660232,16601413.401356248
2021-06-13,76,United Kingdom,hhh4_full,49975,44628.161321728134,5346.838678271866,5346.838678271866,28588683.851464037
2021-06-20,77,United Kingdom,hhh4_full,67052,65792.98205370219,1259.0179462978122,1259.0179462978122,1585126.1890999607
2021-06-27,78,United Kingdom,hhh4_full,107473,87946.14557030002,19526.854429699975,19526.854429699975,381298043.91869354
2021-07-04,79,United Kingdom,hhh4_full,175475,140637.10779138902,34837.89220861098,34837.89220861098,1213678733.5387976
2021-07-11,80,United Kingdom,hhh4_full,225489,229226.64782488684,-3737.647824886837,3737.647824886837,13970011.262881303
2021-07-18,81,United Kingdom,hhh4_full,323248,294362.0086283414,28885.991371658572,28885.991371658572,834400497.5235335
2021-07-25,82,United Kingdom,hhh4_full,257005,421228.3993881741,-164223.39938817412,164223.39938817412,26969324906.607746
2021-08-01,83,United Kingdom,hhh4_full,163235,334235.8925110586,-171000.8925110586,171000.8925110586,29241305239.578617
2021-01-24,56,United States,hhh4_full,1264272,2351458.87080192,-1087186.87080192,1087186.87080192,1181975292044.0708
2021-01-31,57,United States,hhh4_full,1068450,1849099.5607621588,-780649.5607621588,780649.5607621588,609413736718.1515
2021-02-07,58,United States,hhh4_full,858444,1545114.974173372,-686670.9741733719,686670.9741733719,471517026772.2076
2021-02-14,59,United States,hhh4_full,669532,1227656.4276403792,-558124.4276403792,558124.4276403792,311502876728.9008
2021-02-21,60,United States,hhh4_full,472397,948081.9416532697,-475684.9416532697,475684.9416532697,226276163715.6746
2021-02-28,61,United States,hhh4_full,465790,662403.4126650004,-196613.41266500042,196613.41266500042,38656834039.77775
2021-03-07,62,United States,hhh4_full,420301,649720.2354377346,-229419.23543773463,229419.23543773463,52633185588.83472
2021-03-14,63,United States,hhh4_full,383851,582278.7072321681,-198427.70723216806,198427.70723216806,39373554997.415
2021-03-21,64,United States,hhh4_full,381112,529508.8919599734,-148396.89195997338,148396.89195997338,22021637543.380013
2021-03-28,65,United States,hhh4_full,418247,522462.64266978716,-104215.64266978716,104215.64266978716,10860900177.076763
2021-04-04,66,United States,hhh4_full,449952,570036.5386901873,-120084.53869018727,120084.53869018727,14420296432.435083
2021-04-11,67,United States,hhh4_full,456241,610659.9411171231,-154418.94111712312,154418.94111712312,23845209375.733536
2021-04-18,68,United States,hhh4_full,467332,615518.3405838886,-148186.34058388858,148186.34058388858,21959191535.644222
2021-04-25,69,United States,hhh4_full,406258,628696.4901016861,-222438.4901016861,222438.4901016861,49478881878.7179
2021-05-02,70,United States,hhh4_full,338724,543919.1479308319,-205195.14793083188,205195.14793083188,42105048734.35598
2021-05-09,71,United States,hhh4_full,292411,451030.72333398287,-158619.72333398287,158619.72333398287,25160216630.54927
2021-05-16,72,United States,hhh4_full,233539,387310.518706719,-153771.51870671898,153771.51870671898,23645679965.370827
2021-05-23,73,United States,hhh4_full,181825,308795.2939885618,-126970.29398856178,126970.29398856178,16121455555.541807
2021-05-30,74,United States,hhh4_full,147994,241652.93003476018,-93658.93003476018,93658.93003476018,8771995175.256104
2021-06-06,75,United States,hhh4_full,99537,196399.77249623137,-96862.77249623137,96862.77249623137,9382396695.656675
2021-06-13,76,United States,hhh4_full,99788,131515.9971133222,-31727.9971133222,31727.9971133222,1006665800.8229818
2021-06-20,77,United States,hhh4_full,80703,131366.5791738808,-50663.579173880804,50663.579173880804,2566798254.708089
2021-06-27,78,United States,hhh4_full,87998,105850.13962515627,-17852.13962515627,17852.13962515627,318698889.1960746
2021-07-04,79,United States,hhh4_full,97292,115152.82980224724,-17860.829802247245,17860.829802247245,319009241.2248433
2021-07-11,80,United States,hhh4_full,287049,127095.02255789409,159953.9774421059,159953.9774421059,25585274899.54973
2021-07-18,81,United States,hhh4_full,222913,374724.52293335675,-151811.52293335675,151811.52293335675,23046738495.345104
2021-07-25,82,United States,hhh4_full,359490,290481.2019260604,69008.79807393957,69008.79807393957,4762214211.609766
2021-08-01,83,United States,hhh4_full,442915,467516.4112301911,-24601.411230191123,24601.411230191123,605229434.5169739
2021-01-24,56,Australia,hhh4_within,72,160.4955467660389,-88.4955467660389,88.4955467660389,7831.461797420177
2021-01-31,57,Australia,hhh4_within,45,106.46927043318188,-61.469270433181876,61.469270433181876,3778.4712075876478
2021-02-07,58,Australia,hhh4_within,42,65.89237804994355,-23.892378049943545,23.892378049943545,570.8457288814242
2021-02-14,59,Australia,hhh4_within,44,61.11728800488814,-17.117288004888138,17.117288004888138,293.00154864228733
2021-02-21,60,Australia,hhh4_within,28,64.44479917021201,-36.44479917021201,36.44479917021201,1328.2233865570859
2021-02-28,61,Australia,hhh4_within,45,43.58172190763155,1.4182780923684533,1.4182780923684533,2.011512747292299
2021-03-07,62,Australia,hhh4_within,65,68.2464797561793,-3.2464797561792977,3.2464797561792977,10.539630807281993
2021-03-14,63,Australia,hhh4_within,82,93.78094762933368,-11.780947629333681,11.780947629333681,138.7907270451029
2021-03-21,64,Australia,hhh4_within,80,114.88288459497791,-34.88288459497791,34.88288459497791,1216.8156376665472
2021-03-28,65,Australia,hhh4_within,60,110.63559999004168,-50.63559999004168,50.63559999004168,2563.9639863515094
2021-04-04,66,Australia,hhh4_within,89,82.68688464154594,6.313115358454056,6.313115358454056,39.85542552914848
2021-04-11,67,Australia,hhh4_within,55,122.35626043947333,-67.35626043947333,67.35626043947333,4536.8658203901605
2021-04-18,68,Australia,hhh4_within,109,77.63966688777518,31.360333112224822,31.360333112224822,983.4704929097046
2021-04-25,69,Australia,hhh4_within,153,152.37871605092369,0.6212839490763145,0.6212839490763145,0.3859937453798605
2021-05-02,70,Australia,hhh4_within,154,210.04212283857376,-56.04212283857376,56.04212283857376,3140.719532253791
2021-05-09,71,Australia,hhh4_within,94,207.80174539025293,-113.80174539025293,113.80174539025293,12950.837253867954
2021-05-16,72,Australia,hhh4_within,61,125.7999533150572,-64.7999533150572,64.7999533150572,4199.033949633592
2021-05-23,73,Australia,hhh4_within,37,81.56197251912994,-44.56197251912994,44.56197251912994,1985.7693947956918
2021-05-30,74,Australia,hhh4_within,79,50.37096460550582,28.62903539449418,28.62903539449418,819.6216676192006
2021-06-06,75,Australia,hhh4_within,75,107.3549515273316,-32.35495152733159,32.35495152733159,1046.842888335977
2021-06-13,76,Australia,hhh4_within,79,104.14054496754754,-25.14054496754754,25.14054496754754,632.04700126528
2021-06-20,77,Australia,hhh4_within,86,110.1241268640841,-24.124126864084104,24.124126864084104,581.9734969544244
2021-06-27,78,Australia,hhh4_within,134,116.76560705568163,17.234392944318373,17.234392944318373,297.0243001591709
2021-07-04,79,Australia,hhh4_within,277,177.18917382530287,99.81082617469713,99.81082617469713,9962.201021675604
2021-07-11,80,Australia,hhh4_within,283,362.87330140882773,-79.87330140882773,79.87330140882773,6379.744277945441
2021-07-18,81,Australia,hhh4_within,754,370.44922904851,383.55077095149,383.55077095149,147111.19389748233
2021-07-25,82,Australia,hhh4_within,984,984.349967519957,-0.3499675199569765,0.3499675199569765,0.12247726502483675
2021-08-01,83,Australia,hhh4_within,1154,1283.6391706433758,-129.6391706433758,129.6391706433758,16806.314565102308
2021-01-24,56,Brazil,hhh4_within,360428,561225.7393455257,-200797.73934552574,200797.73934552574,40319732126.2737
2021-01-31,57,Brazil,hhh4_within,364593,527155.7925401666,-162562.79254016664,162562.79254016664,26426661518.45726
2021-02-07,58,Brazil,hhh4_within,328652,527248.5175714566,-198596.5175714566,198596.5175714566,39440576791.50987
2021-02-14,59,Brazil,hhh4_within,318290,470004.2149679412,-151714.21496794123,151714.21496794123,23017203023.33868
2021-02-21,60,Brazil,hhh4_within,316221,450711.47103980626,-134490.47103980626,134490.47103980626,18087686800.508965
2021-02-28,61,Brazil,hhh4_within,373954,443412.0966450218,-69458.09664502181,69458.09664502181,4824427189.5491905
2021-03-07,62,Brazil,hhh4_within,413597,521621.2947866146,-108024.2947866146,108024.2947866146,11669248264.14541
2021-03-14,63,Brazil,hhh4_within,494153,572991.1456095055,-78838.14560950547,78838.14560950547,6215453203.145587
2021-03-21,64,Brazil,hhh4_within,508010,681666.0958742594,-173656.09587425936,173656.09587425936,30156439634.28996
2021-03-28,65,Brazil,hhh4_within,533024,696425.5250339416,-163401.5250339416,163401.5250339416,26700058383.417847
2021-04-04,66,Brazil,hhh4_within,505668,726467.975460307,-220799.97546030697,220799.97546030697,48752629163.27216
2021-04-11,67,Brazil,hhh4_within,463092,686275.655407237,-223183.655407237,223183.655407237,49810944040.93631
2021-04-18,68,Brazil,hhh4_within,459281,624761.0272113793,-165480.02721137926,165480.02721137926,27383639405.87882
2021-04-25,69,Brazil,hhh4_within,404623,617865.6691862631,-213242.6691862631,213242.6691862631,45472435961.682045
2021-05-02,70,Brazil,hhh4_within,421933,541730.1465934464,-119797.14659344638,119797.14659344638,14351356331.93168
2021-05-09,71,Brazil,hhh4_within,423438,561827.6766740173,-138389.67667401733,138389.67667401733,19151702609.939056
2021-05-16,72,Brazil,hhh4_within,437076,560860.644608989,-123784.64460898901,123784.64460898901,15322638240.973711
2021-05-23,73,Brazil,hhh4_within,451424,577919.8662442723,-126495.86624427233,126495.86624427233,16001204176.888836
2021-05-30,74,Brazil,hhh4_within,420981,599959.3547074082,-178978.35470740823,178978.35470740823,32033251453.77084
2021-06-06,75,Brazil,hhh4_within,449478,558670.523861675,-109192.52386167506,109192.52386167506,11923007267.282476
2021-06-13,76,Brazil,hhh4_within,454710,593867.4127227948,-139157.4127227948,139157.4127227948,19364785515.702255
2021-06-20,77,Brazil,hhh4_within,505344,598584.217884248,-93240.217884248,93240.217884248,8693738231.102041
2021-06-27,78,Brazil,hhh4_within,521298,662788.8210408014,-141490.82104080135,141490.82104080135,20019652438.800076
2021-07-04,79,Brazil,hhh4_within,364709,682153.4794909625,-317444.47949096246,317444.47949096246,100770997559.28809
2021-07-11,80,Brazil,hhh4_within,333030,476425.858917079,-143395.858917079,143395.858917079,20562372354.566822
2021-07-18,81,Brazil,hhh4_within,287610,434749.6807940254,-147139.68079402542,147139.68079402542,21650085664.167694
2021-07-25,82,Brazil,hhh4_within,324334,374788.28649002995,-50454.28649002995,50454.28649002995,2545635025.2180185
2021-08-01,83,Brazil,hhh4_within,206926,421796.451091236,-214870.45109123603,214870.45109123603,46169310752.15125
2021-01-24,56,Canada,hhh4_within,41703,75891.89780236444,-34188.897802364445,34188.897802364445,1168880732.9405203
2021-01-31,57,Canada,hhh4_within,33386,60995.11931939109,-27609.119319391088,27609.119319391088,762263469.5923742
2021-02-07,58,Canada,hhh4_within,26963,48281.205331552286,-21318.205331552286,21318.205331552286,454465878.5582243
2021-02-14,59,Canada,hhh4_within,22550,38560.670352858564,-16010.670352858564,16010.670352858564,256341565.1479042
2021-02-21,60,Canada,hhh4_within,20280,31933.696800991933,-11653.696800991933,11653.696800991933,135808649.1294496
2021-02-28,61,Canada,hhh4_within,20961,28441.108435727696,-7480.108435727696,7480.108435727696,55952022.21024464
2021-03-07,62,Canada,hhh4_within,20207,29243.26916812755,-9036.26916812755,9036.26916812755,81654160.47885257
2021-03-14,63,Canada,hhh4_within,21462,27998.027097913975,-6536.027097913975,6536.027097913975,42719650.224665776
2021-03-21,64,Canada,hhh4_within,23846,29607.739040327706,-5761.739040327706,5761.739040327706,33197636.768836435
2021-03-28,65,Canada,hhh4_within,29593,32691.147997933247,-3098.147997933247,3098.147997933247,9598521.017097788
2021-04-04,66,Canada,hhh4_within,38181,40333.69206980438,-2152.692069804383,2152.692069804383,4634083.1473986795
2021-04-11,67,Canada,hhh4_within,50441,51819.423328295954,-1378.423328295954,1378.423328295954,1900050.8719904954
2021-04-18,68,Canada,hhh4_within,60788,68053.41085756314,-7265.41085756314,7265.41085756314,52786194.92919636
2021-04-25,69,Canada,hhh4_within,58515,81782.41006038814,-23267.410060388138,23267.410060388138,541372370.9182512
2021-05-02,70,Canada,hhh4_within,54838,78347.34856611895,-23509.348566118948,23509.348566118948,552689470.0032791
2021-05-09,71,Canada,hhh4_within,53748,73022.28810103396,-19274.288101033962,19274.288101033962,371498181.8016594
2021-05-16,72,Canada,hhh4_within,45246,71192.5148592911,-25946.5148592911,25946.5148592911,673221633.3434138
2021-05-23,73,Canada,hhh4_within,33709,59826.934050180455,-26117.934050180455,26117.934050180455,682146479.0495756
2021-05-30,74,Canada,hhh4_within,22152,44801.62720501042,-22649.627205010423,22649.627205010423,513005612.5259483
2021-06-06,75,Canada,hhh4_within,15229,29399.600717415095,-14170.600717415095,14170.600717415095,200805924.6924052
2021-06-13,76,Canada,hhh4_within,10215,20126.010952113906,-9911.010952113906,9911.010952113906,98228138.0929218
2021-06-20,77,Canada,hhh4_within,7541,13453.106489098169,-5912.106489098169,5912.106489098169,34953003.138436675
2021-06-27,78,Canada,hhh4_within,5043,9894.384513156276,-4851.384513156276,4851.384513156276,23535931.694492556
2021-07-04,79,Canada,hhh4_within,4015,6600.92835989116,-2585.9283598911597,2585.9283598911597,6687025.482489384
2021-07-11,80,Canada,hhh4_within,3648,5245.878746132054,-1597.8787461320544,1597.8787461320544,2553216.487340546
2021-07-18,81,Canada,hhh4_within,2677,4763.234480955055,-2086.234480955055,2086.234480955055,4352374.309525807
2021-07-25,82,Canada,hhh4_within,3070,3490.2238900901198,-420.22389009011977,420.22389009011977,176588.11780247305
2021-08-01,83,Canada,hhh4_within,3865,3996.4572490919804,-131.45724909198043,131.45724909198043,17281.00833883099
2021-01-24,56,China,hhh4_within,1306,1638.2391124778403,-332.2391124778403,332.2391124778403,110382.82786006303
2021-01-31,57,China,hhh4_within,946,1911.2924589324748,-965.2924589324748,965.2924589324748,931789.5312719035
2021-02-07,58,China,hhh4_within,395,1368.8526063306074,-973.8526063306074,973.8526063306074,948388.8988569169
2021-02-14,59,China,hhh4_within,243,565.9403715416568,-322.94037154165676,322.94037154165676,104290.48357146331
2021-02-21,60,China,hhh4_within,154,346.2354838037552,-192.2354838037552,192.2354838037552,36954.481233263825
2021-02-28,61,China,hhh4_within,209,220.2599939766286,-11.259993976628607,11.259993976628607,126.78746435371251
2021-03-07,62,China,hhh4_within,186,297.0045463507913,-111.00454635079132,111.00454635079132,12322.009310544978
2021-03-14,63,China,hhh4_within,269,261.4114601993089,7.5885398006910805,7.5885398006910805,57.58593630667262
2021-03-21,64,China,hhh4_within,190,372.8419164528834,-182.84191645288342,182.84191645288342,33431.166412163206
2021-03-28,65,China,hhh4_within,157,261.4332253276565,-104.43322532765649,104.43322532765649,10906.298552337072
2021-04-04,66,China,hhh4_within,187,214.88975949207907,-27.889759492079065,27.889759492079065,777.8386845260143
2021-04-11,67,China,hhh4_within,216,255.35827064240138,-39.35827064240138,39.35827064240138,1549.0734679605143
2021-04-18,68,China,hhh4_within,190,294.84482629115575,-104.84482629115575,104.84482629115575,10992.437600022626
