ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CHINA,2020-04-17,World Health Organization COVID-19 Dashboard,27,"1,426,106,093",0.0019
COVID-19,Unspecified,CHINA,2020-04-18,World Health Organization COVID-19 Dashboard,356,"1,426,106,093",0.0250
COVID-19,Unspecified,CHINA,2020-04-19,World Health Organization COVID-19 Dashboard,21,"1,426,106,093",0.0015
COVID-19,Unspecified,CHINA,2020-04-20,World Health Organization COVID-19 Dashboard,36,"1,426,106,093",0.0025
COVID-19,Unspecified,CHINA,2020-04-21,World Health Organization COVID-19 Dashboard,13,"1,426,106,093",0.0009
COVID-19,Unspecified,CHINA,2020-04-22,World Health Organization COVID-19 Dashboard,37,"1,426,106,093",0.0026
COVID-19,Unspecified,CHINA,2020-04-23,World Health Organization COVID-19 Dashboard,15,"1,426,106,093",0.0011
COVID-19,Unspecified,CHINA,2020-04-24,World Health Organization COVID-19 Dashboard,9,"1,426,106,093",0.0006
COVID-19,Unspecified,CHINA,2020-04-25,World Health Organization COVID-19 Dashboard,13,"1,426,106,093",0.0009
COVID-19,Unspecified,CHINA,2020-04-26,World Health Organization COVID-19 Dashboard,14,"1,426,106,093",0.0010
COVID-19,Unspecified,CHINA,2020-04-27,World Health Organization COVID-19 Dashboard,3,"1,426,106,093",0.0002
COVID-19,Unspecified,CHINA,2020-04-28,World Health Organization COVID-19 Dashboard,6,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-04-29,World Health Organization COVID-19 Dashboard,22,"1,426,106,093",0.0015
COVID-19,Unspecified,CHINA,2020-04-30,World Health Organization COVID-19 Dashboard,4,"1,426,106,093",0.0003
COVID-19,Unspecified,CHINA,2020-05-01,World Health Organization COVID-19 Dashboard,12,"1,426,106,093",0.0008
COVID-19,Unspecified,CHINA,2020-05-02,World Health Organization COVID-19 Dashboard,3,"1,426,106,093",0.0002
