ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CANADA,2020-06-03,World Health Organization COVID-19 Dashboard,758,"38,171,902",1.9858
COVID-19,Unspecified,CANADA,2020-06-04,World Health Organization COVID-19 Dashboard,705,"38,171,902",1.8469
COVID-19,Unspecified,CANADA,2020-06-05,World Health Organization COVID-19 Dashboard,675,"38,171,902",1.7683
COVID-19,Unspecified,CANADA,2020-06-06,World Health Organization COVID-19 Dashboard,641,"38,171,902",1.6792
COVID-19,Unspecified,CANADA,2020-06-07,World Health Organization COVID-19 Dashboard,609,"38,171,902",1.5954
COVID-19,Unspecified,CANADA,2020-06-08,World Health Organization COVID-19 Dashboard,722,"38,171,902",1.8914
COVID-19,Unspecified,CANADA,2020-06-09,World Health Organization COVID-19 Dashboard,642,"38,171,902",1.6819
COVID-19,Unspecified,CANADA,2020-06-10,World Health Organization COVID-19 Dashboard,545,"38,171,902",1.4278
COVID-19,Unspecified,CANADA,2020-06-11,World Health Organization COVID-19 Dashboard,409,"38,171,902",1.0715
COVID-19,Unspecified,CANADA,2020-06-12,World Health Organization COVID-19 Dashboard,472,"38,171,902",1.2365
COVID-19,Unspecified,CANADA,2020-06-13,World Health Organization COVID-19 Dashboard,405,"38,171,902",1.0610
COVID-19,Unspecified,CANADA,2020-06-14,World Health Organization COVID-19 Dashboard,413,"38,171,902",1.0819
COVID-19,Unspecified,CANADA,2020-06-15,World Health Organization COVID-19 Dashboard,467,"38,171,902",1.2234
COVID-19,Unspecified,CANADA,2020-06-16,World Health Organization COVID-19 Dashboard,377,"38,171,902",0.9876
COVID-19,Unspecified,CANADA,2020-06-17,World Health Organization COVID-19 Dashboard,360,"38,171,902",0.9431
COVID-19,Unspecified,CANADA,2020-06-18,World Health Organization COVID-19 Dashboard,320,"38,171,902",0.8383
COVID-19,Unspecified,CANADA,2020-06-19,World Health Organization COVID-19 Dashboard,386,"38,171,902",1.0112
COVID-19,Unspecified,CANADA,2020-06-20,World Health Organization COVID-19 Dashboard,367,"38,171,902",0.9614
